,Unidad_Planeamiento_Zocial,Localidad,Barrio
1823,El Tesoro,Ciudad Bolívar, El Consuelo
1824,El Tesoro,Ciudad Bolívar, El Tesoro
1825,El Tesoro,Ciudad Bolívar, Tesorito
1826,El Tesoro,Ciudad Bolívar, El Mochuelo I
1827,El Tesoro,Ciudad Bolívar, El Reflejo
1828,El Tesoro,Ciudad Bolívar, La Cumbre
1829,El Tesoro,Ciudad Bolívar, Los Duques
1830,El Tesoro,Ciudad Bolívar, Inés Elvira
1831,El Tesoro,Ciudad Bolívar, Monterey
1832,El Tesoro,Ciudad Bolívar, Minuto de María
1833,El Tesoro,Ciudad Bolívar, Ocho de Diciembre
1834,El Tesoro,Ciudad Bolívar, Quiba
1835,El Tesoro,Ciudad Bolívar, Potreritos
1836,El Tesoro,Ciudad Bolívar, República de Venezuela
1837,El Tesoro,Ciudad Bolívar, República de Canadá
1838,El Tesoro,Ciudad Bolívar, San Rafael Sur
1839,El Tesoro,Ciudad Bolívar, San Joaquín del Vaticano
1840,El Tesoro,Ciudad Bolívar, Sotavento
1841,El Tesoro,Ciudad Bolívar, Villa Diana López.
1842,Ismael Perdomo,Ciudad Bolívar,Bella Estancia
1843,Ismael Perdomo,Ciudad Bolívar, Barlovento
1844,Ismael Perdomo,Ciudad Bolívar, Caracolí
1845,Ismael Perdomo,Ciudad Bolívar, Bonanza Sur
1846,Ismael Perdomo,Ciudad Bolívar, Casa Loma Casavianca
1847,Ismael Perdomo,Ciudad Bolívar, Cerro del Diamante
1848,Ismael Perdomo,Ciudad Bolívar, El Rosal
1849,Ismael Perdomo,Ciudad Bolívar, El Espino
1850,Ismael Perdomo,Ciudad Bolívar, Ismael Perdomo
1851,Ismael Perdomo,Ciudad Bolívar, El Porvenir
1852,Ismael Perdomo,Ciudad Bolívar, El Rincón del Porvenir
1853,Ismael Perdomo,Ciudad Bolívar, Galicia
1854,Ismael Perdomo,Ciudad Bolívar, La Carbonera
1855,Ismael Perdomo,Ciudad Bolívar, Mirador de la Estancia
1856,Ismael Perdomo,Ciudad Bolívar, Mirador de Primavera
1857,Ismael Perdomo,Ciudad Bolívar, Perdomo Alto
1858,Ismael Perdomo,Ciudad Bolívar, Rincón de Galicia
1859,Ismael Perdomo,Ciudad Bolívar, Rincón de la estancia
1860,Ismael Perdomo,Ciudad Bolívar, Rincón de la Valvanera
1861,Ismael Perdomo,Ciudad Bolívar, San Antonio del Mirador
1862,Ismael Perdomo,Ciudad Bolívar, San Isidro
1863,Ismael Perdomo,Ciudad Bolívar, María Cano
1864,Ismael Perdomo,Ciudad Bolívar, San rafael de la Estancia
1865,Ismael Perdomo,Ciudad Bolívar, Santa Viviana
1866,Ismael Perdomo,Ciudad Bolívar, Santo Domingo
1867,Ismael Perdomo,Ciudad Bolívar, Sierra Morena.
1868,Jerusalén,Ciudad Bolívar,Arborizadora Alta
1869,Jerusalén,Ciudad Bolívar, Bella Vista
1870,Jerusalén,Ciudad Bolívar, Florida del Sur
1871,Jerusalén,Ciudad Bolívar, Jerusalén
1872,Jerusalén,Ciudad Bolívar, La Pradera
1873,Jerusalén,Ciudad Bolívar, Las Brisas
1874,Jerusalén,Ciudad Bolívar, Potosí
1875,Jerusalén,Ciudad Bolívar, Las Vegas de Potosí
1876,Jerusalén,Ciudad Bolívar, Villas de Bolívar
1877,Jerusalén,Ciudad Bolívar, Verona.
